Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Age,ConvertedCompYearly
Netherlands,No bachelors,27,7,Other,99.0,35.0,56211.0
Poland,No bachelors,13,6,Front-end Developer,99.0,25.0,60744.0
France,Bachelors,36,25,Front-end Developer,499.0,35.0,183767.0
India,Bachelors,11,2,Front-end Developer,499.0,18.0,25128.0
Other,Bachelors,17,10,Front-end Developer,99.0,25.0,49725.0
Germany,No bachelors,13,4,Front-end Developer,19.0,25.0,36324.0
United States of America,Bachelors,3,1,Full-stack Developer,99.0,25.0,82000.0
United States of America,Post-grad,12,10,Academic Researcher,499.0,25.0,105000.0
Other,No bachelors,25,15,Front-end Developer,19.0,25.0,59454.0
Canada,Bachelors,5,5,Front-end Developer,19.0,25.0,1512650.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,4,2,Full-stack Developer,499.0,18.0,28437.0
Poland,No bachelors,4,3,Front-end Developer,499.0,18.0,41004.0
Germany,Bachelors,25,5,Other,499.0,45.0,101612.0
United States of America,Bachelors,15,9,Front-end Developer,499.0,25.0,135000.0
India,Bachelors,6,7,Front-end Developer,499.0,25.0,31332.0
Netherlands,Bachelors,10,6,Front-end Developer,19.0,25.0,50806.0
France,No bachelors,6,3,Front-end Developer,99.0,25.0,41077.0
France,No bachelors,7,5,Front-end Developer,99.0,25.0,45401.0
United States of America,Bachelors,15,8,Full-stack Developer,499.0,25.0,200000.0
India,No bachelors,11,3,Front-end Developer,499.0,25.0,40489.0
United States of America,No bachelors,20,10,Full-stack Developer,4999.0,25.0,58000.0
Other,Bachelors,2,1,Front-end Developer,99.0,25.0,12828.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,7,3,Front-end Developer,99.0,25.0,48472.0
Other,No bachelors,7,5,Full-stack Developer,499.0,25.0,27528.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,8,0,Front-end Developer,4999.0,18.0,19389.0
Germany,Bachelors,11,7,Data Scientist or ML Engr.,99.0,25.0,43239.0
Spain,No bachelors,12,8,Front-end Developer,9999.0,25.0,16215.0
Germany,Post-grad,10,7,SRE or Devops,499.0,25.0,51888.0
Spain,Bachelors,35,30,Front-end Developer,4999.0,45.0,45396.0
